 ,open,high,low,adjclose,volume,ticker
2017-12-30,421,421,418,418,8121,Dedam
2017-12-31,417,425,402,425,68930,Dedam
2018-01-02,415,415,415,415,4500,Dedam
2018-01-03,427,427,426,426,545,Dedam
2018-01-06,396,415,396,415,2700,Dedam
2018-01-07,399,399,399,399,1111,Dedam
2018-01-08,421,421,415,415,2187,Dedam
2018-01-09,399,421,395,395,59926,Dedam
2018-01-10,415,415,408,408,33928,Dedam
2018-01-13,414,414,413,414,12430,Dedam
2018-01-14,395,410,395,409,2251,Dedam
2018-01-15,407,407,407,407,2574,Dedam
2018-01-16,392,394,392,393,21066,Dedam
2018-01-17,388,398,388,398,10790,Dedam
2018-01-20,387,392,387,392,507,Dedam
2018-01-21,392,392,391,392,5250,Dedam
2018-01-22,386,386,386,386,310,Dedam
2018-01-23,386,386,386,386,1000,Dedam
2018-01-24,386,386,386,386,27238,Dedam
2018-01-27,384,392,384,392,5672,Dedam
2018-01-28,383,383,383,383,43520,Dedam
2018-01-29,404,404,377,377,28837,Dedam
2018-01-30,377,404,377,404,2055,Dedam
2018-01-31,381,381,374,374,11749,Dedam
2018-02-03,412,412,395,395,5827,Dedam
2018-02-04,409,409,409,409,2244,Dedam
2018-02-05,375,412,375,412,8242,Dedam
2018-02-06,381,409,381,409,722,Dedam
2018-02-07,375,409,375,409,3112,Dedam
2018-02-12,387,400,387,400,12821,Dedam
2018-02-13,383,383,383,383,6000,Dedam
2018-02-14,392,392,392,392,20000,Dedam
2018-02-17,392,398,392,398,3588,Dedam
2018-02-18,398,398,389,389,1525,Dedam
2018-02-19,392,392,392,392,877,Dedam
2018-02-21,381,398,376,382,14704,Dedam
2018-02-24,392,392,376,376,1826,Dedam
2018-02-25,398,398,377,377,2251,Dedam
2018-02-26,376,395,376,395,9934,Dedam
2018-02-27,376,376,376,376,2912,Dedam
2018-02-28,392,392,376,376,2620,Dedam
2018-03-03,376,376,374,374,31418,Dedam
2018-03-04,373,373,368,368,54970,Dedam
2018-03-05,381,392,368,392,14300,Dedam
2018-03-06,368,369,368,369,384,Dedam
2018-03-07,369,369,369,369,2116,Dedam
2018-03-10,383,385,360,360,57210,Dedam
2018-03-11,359,379,359,379,1075,Dedam
2018-03-12,359,359,359,359,873,Dedam
2018-03-14,358,359,358,359,8000,Dedam
2018-03-19,357,358,357,358,9294,Dedam
2018-03-27,374,374,357,357,1114,Dedam
2018-03-28,356,356,356,356,500,Dedam
2018-04-03,375,391,375,391,13330,Dedam
2018-04-04,391,391,391,391,5000,Dedam
2018-04-07,359,359,357,359,4800,Dedam
2018-04-08,357,357,357,357,3622,Dedam
2018-04-09,356,356,356,356,42617,Dedam
2018-04-10,357,357,352,357,1997,Dedam
2018-04-11,351,351,351,351,20500,Dedam
2018-04-15,367,367,358,358,370,Dedam
2018-04-16,372,372,372,372,389,Dedam
2018-04-18,350,362,350,357,12840,Dedam
2018-04-21,350,350,350,350,333,Dedam
2018-04-22,350,350,349,349,5642,Dedam
2018-04-23,350,352,350,352,8805,Dedam
2018-04-24,349,350,349,349,2534,Dedam
2018-04-25,352,352,352,352,5805,Dedam
2018-04-28,349,349,349,349,3734,Dedam
2018-04-29,347,347,347,347,1266,Dedam
2018-04-30,352,352,346,346,1589,Dedam
2018-05-01,346,346,346,346,12533,Dedam
2018-05-05,346,346,346,346,5000,Dedam
2018-05-07,344,346,344,344,1632,Dedam
2018-05-12,344,363,344,344,18915,Dedam
2018-05-14,346,362,346,362,2191,Dedam
2018-05-15,343,357,342,342,12050,Dedam
2018-05-21,341,341,341,341,11509,Dedam
2018-05-22,358,358,335,335,906,Dedam
2018-05-23,327,328,327,327,16246,Dedam
2018-05-26,335,346,323,346,5772,Dedam
2018-05-27,323,323,323,323,100,Dedam
2018-05-29,323,323,323,323,40200,Dedam
2018-05-30,323,323,319,319,43490,Dedam
2018-06-02,321,340,316,340,13940,Dedam
2018-06-03,316,340,316,335,3478,Dedam
2018-06-13,314,323,314,319,8600,Dedam
2018-06-17,334,334,302,306,191173,Dedam
2018-06-18,307,312,307,307,18610,Dedam
2018-06-19,307,307,307,307,35000,Dedam
2018-06-23,323,323,301,320,96092,Dedam
2018-06-24,302,316,302,308,7477,Dedam
2018-06-25,301,315,296,301,75883,Dedam
2018-06-26,291,305,291,305,22884,Dedam
2018-06-27,295,303,295,303,2616,Dedam
2018-06-30,300,306,300,300,4142,Dedam
2018-07-01,292,292,291,291,1840,Dedam
2018-07-02,288,312,288,312,65500,Dedam
2018-07-03,298,305,289,300,23265,Dedam
2018-07-04,289,299,289,299,1680,Dedam
2018-07-07,289,299,289,299,5100,Dedam
2018-07-08,284,295,284,289,19978,Dedam
2018-07-10,289,289,289,289,19321,Dedam
2018-07-11,281,282,281,281,94366,Dedam
2018-07-14,275,275,275,275,206,Dedam
2018-07-16,275,276,275,276,25473,Dedam
2018-07-17,300,300,289,289,2580,Dedam
2018-07-18,273,276,273,276,4726,Dedam
2018-07-21,273,273,273,273,8500,Dedam
2018-07-22,272,272,272,272,26073,Dedam
2018-07-23,271,271,271,271,4000,Dedam
2018-07-24,270,271,270,271,5022,Dedam
2018-07-25,277,277,270,270,6398,Dedam
2018-07-29,271,277,271,277,6390,Dedam
2018-07-30,270,277,270,277,12489,Dedam
2018-07-31,289,297,285,297,2000,Dedam
2018-08-01,297,297,280,280,9050,Dedam
2018-08-04,280,280,269,269,5832,Dedam
2018-08-06,283,283,269,269,42520,Dedam
2018-08-07,267,267,267,267,5050,Dedam
2018-08-08,268,268,268,268,440,Dedam
2018-08-11,269,269,268,268,10173,Dedam
2018-08-12,268,268,268,268,6000,Dedam
2018-08-14,283,283,271,271,32060,Dedam
2018-08-15,271,272,271,272,14700,Dedam
2018-08-18,277,277,277,277,1105,Dedam
2018-08-19,292,292,292,292,42750,Dedam
2018-08-20,295,295,294,295,3026962,Dedam
2018-08-21,310,310,308,310,189259,Dedam
2018-08-25,323,323,323,323,107732,Dedam
2018-08-26,333,333,301,332,1294816,Dedam
2018-08-27,344,344,344,344,621449,Dedam
2018-08-28,361,361,361,361,11654,Dedam
2018-08-29,362,362,362,362,1,Dedam
2018-09-01,362,362,362,362,167392,Dedam
2018-09-02,380,380,380,380,4216,Dedam
2018-09-03,380,380,380,380,11,Dedam
2018-09-04,380,380,380,380,12110,Dedam
2018-09-05,382,382,382,382,167392,Dedam
2018-09-08,401,401,401,401,151194,Dedam
2018-09-09,421,421,421,421,351194,Dedam
2018-09-12,442,464,442,464,302388,Dedam
2018-09-15,487,487,487,487,134897,Dedam
2018-09-16,511,511,511,511,126801,Dedam
2018-09-17,536,536,536,536,124699,Dedam
2018-09-23,866,909,824,909,1958097,Dedam
2018-09-24,923,923,923,923,69092,Dedam
2018-09-25,970,970,970,970,61363,Dedam
2018-09-26,1015,1015,1015,1015,229006,Dedam
2018-09-29,1066,1066,1066,1066,21752,Dedam
2018-09-30,1086,1086,1086,1086,106909,Dedam
2018-10-01,1140,1197,1140,1197,590020,Dedam
2018-10-02,1235,1235,1137,1137,997133,Dedam
2018-10-03,1096,1181,1096,1131,1332044,Dedam
2018-10-06,1156,1160,1057,1057,773489,Dedam
2018-10-07,1031,1082,1029,1029,355812,Dedam
2018-10-08,993,993,993,993,53978,Dedam
2018-10-09,943,1022,943,943,2161879,Dedam
2018-10-10,923,923,909,909,199506,Dedam
2018-10-13,864,864,864,864,47322,Dedam
2018-10-14,832,900,832,900,296831,Dedam
2018-10-15,887,887,887,887,47373,Dedam
2018-10-16,920,920,920,920,138111,Dedam
2018-10-17,966,966,920,966,569520,Dedam
2018-10-20,1012,1013,967,1013,242849,Dedam
2018-10-21,1039,1039,1039,1039,8000,Dedam
2018-10-22,968,968,965,965,54495,Dedam
2018-10-23,921,922,921,921,89618,Dedam
2018-10-24,875,875,875,875,64563,Dedam
2018-10-27,832,875,832,832,424174,Dedam
2018-10-28,844,874,844,874,99826,Dedam
2018-10-29,914,914,914,914,220288,Dedam
2018-10-31,951,959,923,955,185699,Dedam
2018-11-03,975,975,912,927,183281,Dedam
2018-11-04,941,965,906,923,308700,Dedam
2018-11-05,902,969,902,917,95606,Dedam
2018-11-06,958,958,901,915,122747,Dedam
2018-11-10,912,923,883,923,224364,Dedam
2018-11-11,912,938,907,907,133052,Dedam
2018-11-12,946,946,920,923,125591,Dedam
2018-11-13,958,958,923,935,126118,Dedam
2018-11-14,950,986,936,986,353074,Dedam
2018-11-17,996,1030,996,1030,346597,Dedam
2018-11-18,1073,1074,980,1016,165329,Dedam
2018-11-19,994,1055,994,1041,190395,Dedam
2018-11-20,1086,1086,1012,1046,75622,Dedam
2018-11-21,1025,1055,1023,1023,295151,Dedam
2018-11-24,1004,1044,972,972,98740,Dedam
2018-11-26,933,1021,931,949,284547,Dedam
2018-11-27,997,997,950,997,186301,Dedam
2018-11-28,1038,1039,946,992,254077,Dedam
2018-12-01,945,964,939,961,80759,Dedam
2018-12-02,981,992,981,981,314714,Dedam
