 ,open,high,low,adjclose,volume,ticker
2016-05-30,577,590,577,19,44048,IRO1DAML0001
2016-05-31,567,589,567,18,24251,IRO1DAML0001
2016-06-01,547,577,547,18,2128,IRO1DAML0001
2016-06-05,577,577,549,18,21875,IRO1DAML0001
2016-06-06,543,599,542,24,167952,IRO1DAML0001
2016-06-07,578,587,554,17,16570,IRO1DAML0001
2016-06-08,543,589,543,24,145138,IRO1DAML0001
2016-06-11,616,616,615,24,103771,IRO1DAML0001
2016-06-12,622,646,612,24,67589,IRO1DAML0001
2016-06-13,639,646,635,20,23489,IRO1DAML0001
2016-06-14,628,628,618,15,22298,IRO1DAML0001
2016-06-15,613,646,612,24,54397,IRO1DAML0001
2016-06-18,615,646,615,20,2200,IRO1DAML0001
2016-06-19,629,639,629,17,12130,IRO1DAML0001
2016-06-20,615,623,604,19,4840,IRO1DAML0001
2016-06-21,623,635,604,20,10530,IRO1DAML0001
2016-06-22,605,635,605,21,35606,IRO1DAML0001
2016-06-25,640,640,639,20,779,IRO1DAML0001
2016-06-26,604,606,595,13,95796,IRO1DAML0001
2016-06-28,624,624,581,22,2582,IRO1DAML0001
2016-06-29,589,589,578,15,15064,IRO1DAML0001
2016-07-02,577,577,575,17,14133,IRO1DAML0001
2016-07-03,575,590,574,19,15024,IRO1DAML0001
2016-07-04,578,578,568,19,23606,IRO1DAML0001
2016-07-05,560,560,560,18,1200,IRO1DAML0001
2016-07-09,562,584,562,24,3154,IRO1DAML0001
2016-07-10,584,584,566,16,2500,IRO1DAML0001
2016-07-11,566,566,555,18,48200,IRO1DAML0001
2016-07-12,565,565,544,18,20000,IRO1DAML0001
2016-07-13,543,576,542,22,7993,IRO1DAML0001
2016-07-17,554,576,554,18,18560,IRO1DAML0001
2016-07-18,577,592,576,26,58213,IRO1DAML0001
2016-07-19,576,607,576,22,36520,IRO1DAML0001
2016-07-20,611,618,611,21,102041,IRO1DAML0001
2016-07-23,646,646,600,20,45735,IRO1DAML0001
2016-07-24,606,654,600,24,106152,IRO1DAML0001
2016-07-25,658,673,658,22,99390,IRO1DAML0001
2016-07-26,661,706,639,24,540900,IRO1DAML0001
2016-07-27,720,721,720,22,110029,IRO1DAML0001
2016-07-31,748,757,687,17,479659,IRO1DAML0001
2016-08-01,775,783,765,31,343359,IRO1DAML0001
2016-08-02,821,821,810,24,246119,IRO1DAML0001
2016-08-03,862,862,854,24,70667,IRO1DAML0001
2016-08-06,889,898,861,23,140415,IRO1DAML0001
2016-08-07,900,900,846,14,131303,IRO1DAML0001
2016-08-08,804,804,804,15,3369,IRO1DAML0001
2016-08-09,802,802,802,19,7250,IRO1DAML0001
2016-08-10,798,798,798,19,15000,IRO1DAML0001
2016-08-13,789,789,789,18,6200,IRO1DAML0001
2016-08-14,786,786,786,19,8200,IRO1DAML0001
2016-08-15,781,781,781,19,6300,IRO1DAML0001
2016-08-16,778,778,778,19,5901,IRO1DAML0001
2016-08-17,774,774,774,19,5000,IRO1DAML0001
2016-08-20,772,772,772,19,1185,IRO1DAML0001
2016-08-21,771,771,771,19,4544,IRO1DAML0001
2016-08-22,768,768,768,19,4242,IRO1DAML0001
2016-08-23,766,766,766,19,2474,IRO1DAML0001
2016-08-24,765,765,765,19,6385,IRO1DAML0001
2016-08-27,761,761,761,19,3299,IRO1DAML0001
2016-08-28,760,760,760,19,72894,IRO1DAML0001
2016-08-29,722,798,722,23,1133487,IRO1DAML0001
2016-08-30,773,788,725,16,184800,IRO1DAML0001
2016-08-31,761,761,704,20,75834,IRO1DAML0001
2016-09-03,746,746,693,13,37514,IRO1DAML0001
2016-09-04,687,721,679,17,113790,IRO1DAML0001
2016-09-05,658,710,653,13,249862,IRO1DAML0001
2016-09-06,653,691,653,25,134464,IRO1DAML0001
2016-09-07,711,711,711,22,103930,IRO1DAML0001
2016-09-10,746,747,681,25,157898,IRO1DAML0001
2016-09-11,773,773,706,14,93111,IRO1DAML0001
2016-09-13,702,717,702,19,58300,IRO1DAML0001
2016-09-14,687,687,677,16,191117,IRO1DAML0001
2016-09-17,677,707,658,21,110767,IRO1DAML0001
2016-09-18,685,686,638,18,97434,IRO1DAML0001
2016-09-19,675,675,638,15,120249,IRO1DAML0001
2016-09-21,677,677,635,23,46686,IRO1DAML0001
2016-09-24,681,681,660,19,125024,IRO1DAML0001
2016-09-25,673,687,658,20,72077,IRO1DAML0001
2016-09-26,669,679,664,19,67554,IRO1DAML0001
2016-09-27,654,687,654,22,15312,IRO1DAML0001
2016-09-28,670,686,669,17,33723,IRO1DAML0001
2016-10-01,669,684,656,22,9764,IRO1DAML0001
2016-10-02,679,679,657,17,32405,IRO1DAML0001
2016-10-03,660,680,636,17,71522,IRO1DAML0001
2016-10-04,629,673,623,19,139428,IRO1DAML0001
2016-10-05,662,662,624,18,28221,IRO1DAML0001
2016-10-08,624,662,624,22,89840,IRO1DAML0001
2016-10-09,668,668,638,18,16070,IRO1DAML0001
2016-10-10,641,658,637,21,42605,IRO1DAML0001
2016-10-15,649,666,638,21,65124,IRO1DAML0001
2016-10-16,632,642,629,15,38676,IRO1DAML0001
2016-10-17,624,653,619,23,27446,IRO1DAML0001
2017-01-08,603,603,603,12,55187,IRO1DAML0001
2017-01-09,585,585,585,17,2335,IRO1DAML0001
2017-01-11,584,584,584,19,10848,IRO1DAML0001
2017-01-15,580,580,580,19,6866,IRO1DAML0001
2017-01-16,578,578,578,19,2937,IRO1DAML0001
2017-01-17,577,577,577,19,13943,IRO1DAML0001
2017-01-18,573,573,573,19,4740,IRO1DAML0001
2017-01-21,572,572,572,19,2000,IRO1DAML0001
2017-01-22,571,571,571,19,5340,IRO1DAML0001
2017-01-23,570,570,570,19,3000,IRO1DAML0001
2017-01-24,569,569,569,19,12096,IRO1DAML0001
2017-01-25,565,565,565,19,6183,IRO1DAML0001
2017-02-14,563,563,563,19,3920,IRO1DAML0001
